Bin,Actual Mean,Predicted Mean,Rows
1,0.0,0.0012751146676793202,12.0
2,0.0,0.002913468011778275,12.0
3,0.08333333333333333,0.004444045700162694,12.0
4,0.0,0.005679651397051076,12.0
5,0.0,0.006920148497306714,12.0
6,0.0,0.007940572705652337,12.0
7,0.0,0.009161874194333985,12.0
8,0.0,0.010432871586934034,12.0
9,0.0,0.012657446907283617,12.0
10,0.08333333333333333,0.014770589265683002,12.0
11,0.0,0.016600427599600117,12.0
12,0.0,0.018414324525681324,12.0
13,0.0,0.020054420031097416,12.0
14,0.0,0.021662422914497288,12.0
15,0.0,0.02369530011524575,12.0
16,0.0,0.025423784402192093,12.0
17,0.08333333333333333,0.02706090657817527,12.0
18,0.08333333333333333,0.028732436476904086,12.0
19,0.0,0.03047845109262365,12.0
20,0.0,0.03242359536625658,12.0
21,0.0,0.03556305378289976,12.0
22,0.0,0.03779326616494092,12.0
23,0.0,0.04072534647207154,12.0
24,0.08333333333333333,0.04368724079325507,12.0
25,0.0,0.04666489908436059,12.0
26,0.0,0.05052361393870145,12.0
27,0.0,0.055833202979553055,12.0
28,0.16666666666666666,0.060916641884437565,12.0
29,0.0,0.0637882306919724,12.0
30,0.08333333333333333,0.0671043899784715,12.0
31,0.0,0.07286770153632281,12.0
32,0.08333333333333333,0.08092480801654528,12.0
33,0.08333333333333333,0.08616471345267324,12.0
34,0.16666666666666666,0.0907067762850242,12.0
35,0.08333333333333333,0.09799386386380506,12.0
36,0.0,0.1075152114711581,12.0
37,0.08333333333333333,0.1172991906996244,12.0
38,0.08333333333333333,0.12431287360779057,12.0
39,0.0,0.1285708700389101,12.0
40,0.16666666666666666,0.1352260174239444,12.0
41,0.08333333333333333,0.14540047302342854,12.0
42,0.16666666666666666,0.15641868080453272,12.0
43,0.16666666666666666,0.1721908146510158,12.0
44,0.25,0.18622718694824783,12.0
45,0.08333333333333333,0.20761093779277798,12.0
46,0.16666666666666666,0.2307791327903004,12.0
47,0.25,0.26178549903312753,12.0
48,0.3333333333333333,0.2879546999847159,12.0
49,0.25,0.3135160669304107,12.0
50,0.25,0.33714040104736803,12.0
51,0.4166666666666667,0.36723752611044985,12.0
52,0.5,0.39492330247649626,12.0
53,0.5833333333333334,0.4441514686179367,12.0
54,0.6666666666666666,0.49127176354419794,12.0
55,0.5,0.528737142758276,12.0
56,0.6666666666666666,0.5748079331403146,12.0
57,0.75,0.62906478719552,12.0
58,0.75,0.6943066058231918,12.0
59,0.8333333333333334,0.781085673982818,12.0
60,0.9166666666666666,0.9029892102585749,12.0
